id,exercise_name,type_of_activity,type_of_equipment,body_part,type,muscle_groups_activated,instructions
178,Barbell Lunge,Strength,Barbell,Lower Body,Push,"Quads, Glutes, Hamstrings","Bar on back, step forward into lunge, push back to standing."
179,Overhead Band Pull Apart,Mobility,Resistance Band,Upper Body,Pull,"Lats, Rear Delts, Traps","Hold band overhead, pull apart and return slowly under control."
180,Band-Assisted Dips,Strength,"Resistance Band, Parallel Bars",Upper Body,Push,"Chest, Triceps, Shoulders","Wrap band on dip bars, lower into dip and press back up using assistance."
181,Superman Hold,Strength,Bodyweight,Core,Hold,"Lower Back, Glutes, Shoulders","Lie on stomach, lift arms and legs off floor, hold position while squeezing glutes."
182,Front Lever Hold,Strength,Bar,Core,Hold,"Lats, Abs, Biceps","Hang from bar, lift legs and body horizontally while keeping body straight."
183,Overhead Band Squat,Strength,Resistance Band,Full Body,Push,"Quads, Shoulders, Core","Hold band overhead, perform deep squat while maintaining posture."
184,Wall Climb,Cardio,Bodyweight,Full Body,Push,"Shoulders, Core, Quads","Start prone near wall, walk feet up wall and hands closer to wall into inverted position."
185,Band External Rotation,Mobility,Resistance Band,Upper Body,Pull,"Rotator Cuff, Delts","Anchor band at side, rotate arm outward keeping elbow fixed at 90°."
186,Wall Pec Stretch,Mobility,Bodyweight,Upper Body,Stretch,"Chest, Biceps","Stand sideways to wall, place arm behind and rotate away to stretch pec."
187,Seated Row (Band),Strength,Resistance Band,Upper Body,Pull,"Back, Biceps, Lats","Sit with legs extended, pull band handles toward body, squeeze shoulder blades."
188,Banded Terminal Knee Extension,Strength,Resistance Band,Lower Body,Push,"Quads, Hamstrings","Loop band behind knee, extend leg to full lockout, return slowly."
189,L-Sit Hold,Strength,Bodyweight,Core,Hold,"Abs, Hip Flexors, Triceps",Support body on parallel bars with legs extended straight out in front.
190,Clamshell,Strength,Resistance Band,Lower Body,Push,"Glute Medius, Hip Abductors","Lie on side, knees bent, open and close top knee while feet stay together."
191,Dead Bug with Band,Strength,Resistance Band,Core,Hold,"Abs, Hip Flexors, Shoulders","Anchor band above, extend opposite limbs while keeping tension on band."
192,Side-Lying Thoracic Rotation,Mobility,Bodyweight,Upper Body,Stretch,"Spine, Shoulders, Obliques","Lie on side, rotate upper body back while keeping knees together."
193,Box Step-Down,Strength,Bodyweight,Lower Body,Push,"Glutes, Quads, Hamstrings","Stand on box, slowly lower one leg down and control descent."
194,World’s Greatest Hip Opener,Mobility,Bodyweight,Lower Body,Stretch,"Hip Flexors, Hamstrings","Step into deep lunge, rotate torso upward, hold and switch sides."
195,Scapular Push-Ups,Strength,Bodyweight,Upper Body,Push,"Serratus Anterior, Traps","From plank, squeeze shoulder blades together, then push them apart."
196,Fire Hydrants,Strength,Bodyweight,Lower Body,Push,"Glutes, Hips, Core","On all fours, lift leg laterally, pause at top, return to floor."
197,Scorpion Stretch,Mobility,Bodyweight,Full Body,Stretch,"Lower Back, Hips, Shoulders","Lie prone, rotate one leg across body to opposite side."
198,Split Stance Dumbbell Curl,Strength,Dumbbells,Upper Body,Pull,"Biceps, Forearms","Stagger stance, curl dumbbells to shoulders, control on descent."
199,Band Pull-Apart Diagonal,Strength,Resistance Band,Upper Body,Pull,"Shoulders, Rhomboids","Hold band diagonally, pull apart from hip to overhead."
200,Wall Facing Squat,Mobility,Bodyweight,Lower Body,Stretch,"Ankles, Hips, Spine","Face wall closely, squat deeply while keeping arms up and chest tall."
201,Tripod Headstand Hold,Strength,Bodyweight,Core,Hold,"Shoulders, Neck, Core","Support body on head and hands in tripod, engage core to hold balance."
202,Crossover Lateral Lunge,Strength,Bodyweight,Lower Body,Push,"Adductors, Quads, Glutes","Step leg behind and across into side lunge, return to start."
203,Band Face Pull,Strength,Resistance Band,Upper Body,Pull,"Rear Delts, Traps, Rhomboids","Anchor band, pull toward face with elbows high and wide."
204,Butterfly Stretch,Mobility,Bodyweight,Lower Body,Stretch,"Adductors, Groin","Sit, bring soles of feet together, push knees toward ground gently."
205,Side Shuffle,Cardio,Bodyweight,Lower Body,Push,"Glutes, Quads, Calves","Shuffle laterally in athletic stance, stay low and fast."
206,Wall Walk,Strength,Bodyweight,Full Body,Push,"Shoulders, Core, Triceps","From prone, walk feet up wall and hands toward wall into vertical position."
207,Band Lateral Walk,Strength,Resistance Band,Lower Body,Push,"Glutes, Hips","Place band around legs, step sideways keeping tension throughout."
208,Straight Arm Lat Pulldown (Band),Strength,Resistance Band,Upper Body,Pull,"Lats, Shoulders, Triceps","Pull band down with straight arms, squeeze lats at bottom."
209,Isometric Quad Hold,Strength,Bodyweight,Lower Body,Hold,"Quads, Core","Sit in a low squat or lunge, hold position to activate quad."
210,Dynamic Hamstring Kick,Mobility,Bodyweight,Lower Body,Stretch,"Hamstrings, Glutes",Kick leg forward while walking to stretch hamstring dynamically.
211,Thread the Needle (Band),Mobility,Resistance Band,Upper Body,Stretch,"Shoulders, Traps","Anchor band low, reach arm through and twist torso for stretch."
212,Band Hip Flexor Stretch,Mobility,Resistance Band,Lower Body,Stretch,"Hip Flexors, Quads","Anchor band behind hip, lunge forward to stretch front hip."
213,Seated Dumbbell Press,Strength,Dumbbells,Upper Body,Push,"Shoulders, Triceps","Sit on bench, press dumbbells overhead, return with control."
214,Reverse Sled Drag,Strength,Sled,Lower Body,Pull,"Quads, Glutes, Hamstrings","Walk backward while pulling sled, stay low and drive with legs."
215,Side Plank with Leg Raise,Strength,Bodyweight,Core,Hold,"Obliques, Glutes, Adductors","Hold side plank, lift top leg upward and hold."
216,Wall Hip Opener,Mobility,Bodyweight,Lower Body,Stretch,"Hips, Groin, Glutes","Lie on back with legs up against wall, let knees drop outward."
217,Split Squat Hold,Strength,Bodyweight,Lower Body,Hold,"Glutes, Quads, Core","Hold bottom of split squat position, keep torso upright and core engaged."
218,Isometric Wall Push,Strength,Bodyweight,Upper Body,Push,"Chest, Shoulders, Triceps","Stand facing wall, push against it as hard as possible without movement."
219,Copenhagen Plank,Strength,Bodyweight,Core,Hold,"Adductors, Obliques","Place top leg on elevated surface, hold side plank position with core tight."
220,Standing Band Chest Press,Strength,Resistance Band,Upper Body,Push,"Chest, Triceps, Shoulders","Anchor band behind, press handles forward like bench press."
221,Deadlift (Kettlebell),Strength,Kettlebells,Lower Body,Pull,"Glutes, Hamstrings, Back","Stand over kettlebell, hinge at hips, lift with flat back and stand tall."
222,Shoulder Wall Slides,Mobility,Bodyweight,Upper Body,Stretch,"Shoulders, Traps","Stand with back to wall, slide arms upward maintaining contact with wall."
223,Standing Knee Drive,Cardio,Bodyweight,Lower Body,Push,"Hip Flexors, Core, Quads","Stand tall, drive knee up quickly as if running in place."
224,Band Hamstring Curl,Strength,Resistance Band,Lower Body,Pull,"Hamstrings, Glutes","Anchor band behind, curl heel toward glutes while keeping hips stable."
225,Supine Twist Stretch,Mobility,Bodyweight,Core,Stretch,"Spine, Obliques, Glutes","Lie on back, rotate one leg across body while keeping shoulders down."
226,Front Rack Barbell Lunge,Strength,Barbell,Lower Body,Push,"Quads, Glutes, Core","Hold bar in front rack, step into lunge and return with control."
227,Standing Scapular Retraction,Mobility,Bodyweight,Upper Body,Stretch,"Rhomboids, Traps","Stand tall, pinch shoulder blades together and hold briefly."
228,Star Plank,Strength,Bodyweight,Core,Hold,"Obliques, Glutes, Shoulders","Hold side plank with top arm and leg lifted, keep body aligned."
229,Band Upright Row,Strength,Resistance Band,Upper Body,Pull,"Traps, Delts, Biceps","Step on band, pull handles upward to chin with elbows leading."
230,Banded Hip Hinge,Mobility,Resistance Band,Lower Body,Stretch,"Hamstrings, Glutes","Loop band at hips, hinge forward with neutral spine, return to stand."
231,Skater Lunge,Cardio,Bodyweight,Lower Body,Push,"Glutes, Quads, Calves","Hop laterally and land into lunge, repeat side to side."
232,Wall Angel,Mobility,Bodyweight,Upper Body,Stretch,"Shoulders, Upper Back","Press arms against wall in goalpost shape, move hands up and down slowly."
233,Banded Lat Pullover,Strength,Resistance Band,Upper Body,Pull,"Lats, Triceps, Core","Anchor band, pull overhead to thighs keeping arms straight."
234,Glute Bridge March,Strength,Bodyweight,Lower Body,Hold,"Glutes, Hamstrings, Core","Hold glute bridge, lift one knee at a time without dropping hips."
235,Isometric Bicep Curl (Band),Strength,Resistance Band,Upper Body,Hold,"Biceps, Forearms","Hold curl at 90° angle, maintain tension on band."
236,Kneeling Overhead Band Reach,Mobility,Resistance Band,Upper Body,Stretch,"Lats, Shoulders, Spine","Anchor band above, kneel and reach forward to stretch."
237,Push Press (Barbell),Strength,Barbell,Upper Body,Push,"Shoulders, Triceps, Legs","Dip knees, press bar overhead using leg drive, lockout arms."
238,Side-Lying Leg Circles,Mobility,Bodyweight,Lower Body,Stretch,"Glutes, Hip Rotators","Lie on side, lift top leg and perform slow controlled circles."
239,Band Good Morning,Strength,Resistance Band,Lower Body,Pull,"Hamstrings, Glutes, Lower Back","Step on band, loop over shoulders, hinge at hips then return."
240,Staggered Push-Up,Strength,Bodyweight,Upper Body,Push,"Chest, Triceps, Core","Perform push-up with one hand higher, alternate sides each rep."
241,World’s Greatest Stretch with Rotation,Mobility,Bodyweight,Full Body,Stretch,"Hips, Spine, Shoulders","Lunge, place hand on ground, rotate opposite arm upward."
242,Banded Clamshell with Hold,Strength,Resistance Band,Lower Body,Hold,"Glutes, Hips",Perform clamshell movement and hold at top of each rep.
243,Banded Chest Fly,Strength,Resistance Band,Upper Body,Push,"Chest, Shoulders, Biceps","Anchor band behind, open arms wide and bring them together in front."
244,Dead Bug with Overhead Band Tension,Strength,Resistance Band,Core,Hold,"Abs, Lats","Hold band overhead, extend limbs alternately while keeping tension."
245,Kettlebell Suitcase Deadlift,Strength,Kettlebells,Lower Body,Pull,"Glutes, Hamstrings, Obliques",Lift kettlebell with one hand from side while keeping back flat.
246,Wall Slide with Lift Off,Mobility,Bodyweight,Upper Body,Stretch,"Shoulders, Traps","Slide arms up wall, then lift slightly away from wall, hold and return."
247,Single-Leg Glute Bridge,Strength,Bodyweight,Lower Body,Push,"Glutes, Hamstrings","Lift one leg, press hips up with opposite glute, control down."
248,Banded Wrist Curl,Strength,Resistance Band,Upper Body,Pull,"Forearms, Biceps","Anchor band, curl wrist upward against resistance, return slowly."
249,Front Rack Dumbbell Step-Up,Strength,Dumbbells,Lower Body,Push,"Quads, Glutes, Core","Hold dumbbells at shoulders, step onto box and drive through heel."
250,Straight-Arm Band Pulldown,Strength,Resistance Band,Upper Body,Pull,"Lats, Shoulders, Core","Anchor band above, pull handles to thighs with arms straight."
251,Overhead Shoulder CARs,Mobility,Bodyweight,Upper Body,Stretch,"Shoulders, Rotator Cuff",Raise one arm overhead and rotate fully through range of motion.
252,Bodyweight Lateral Step-Down,Strength,Bodyweight,Lower Body,Push,"Quads, Glutes, Calves","Stand on elevated surface, lower one leg down to floor slowly."
253,Band-Resisted Monster Walks,Strength,Resistance Band,Lower Body,Push,"Glutes, Hips, Quads","Place band around legs, step diagonally forward in low squat."
254,Chest-Supported Dumbbell Row,Strength,Dumbbells,Upper Body,Pull,"Lats, Rhomboids, Biceps","Lie chest down on incline bench, pull dumbbells to ribs."
255,Overhead Plate Hold,Strength,Weight Plate,Upper Body,Hold,"Shoulders, Traps, Core","Hold plate overhead with arms locked, maintain upright posture."
256,Shoulder CARs (Controlled Articular Rotations),Mobility,Bodyweight,Upper Body,Stretch,"Shoulders, Traps",Move arm through full controlled range while keeping torso stable.
257,Isometric Split Squat Hold,Strength,Bodyweight,Lower Body,Hold,"Glutes, Quads, Hamstrings",Lower into split squat and hold at bottom with core tight.
258,Band Pull-Through,Strength,Resistance Band,Lower Body,Pull,"Hamstrings, Glutes, Back","Anchor band low, pull through legs to stand tall while squeezing glutes."
259,Supine Hamstring Stretch (Band),Mobility,Resistance Band,Lower Body,Stretch,"Hamstrings, Calves","Lie on back, loop band over foot, pull leg toward chest."
