"Exercise Name";"Type of Activity";"Type of Equipment";"Body Part";"Type";"Muscle Groups Activated";"Instructions"
"Hip Thrust";"Strength";"Barbell";"Lower Body";"Push";"Glutes, Hamstrings, Core";"Rest upper back on bench, barbell on hips, drive hips up, then lower slowly."
"Reverse Crunch";"Mobility";"Bodyweight";"Core";"Push";"Lower Abs, Core";"Lie down, lift hips off floor by curling knees toward chest, then return to start."
"Arnold Press";"Strength";"Dumbbells";"Upper Body";"Push";"Shoulders, Biceps, Chest";"Start with palms facing body, rotate arms while pressing up overhead, then reverse."
"Wall Angels";"Mobility";"Bodyweight";"Upper Body";"Stretch";"Shoulders, Upper Back";"Stand against wall, raise and lower arms like snow angels while keeping contact."
"Curtsy Lunge";"Strength";"Bodyweight";"Lower Body";"Push";"Glutes, Quads, Inner Thighs";"Step one foot diagonally behind the other, lower into lunge, then return upright."
"Standing Calf Stretch";"Mobility";"Bodyweight";"Lower Body";"Stretch";"Calves, Ankles";"Stand facing wall, step one leg back, press heel into ground to stretch."
"Farmer's Carry";"Strength";"Dumbbells";"Full Body";"Hold";"Forearms, Shoulders, Core, Legs";"Hold weights at sides, walk with tight core and upright posture."
"Jump Rope";"Cardio";"Jump Rope";"Full Body";"Push";"Calves, Core, Forearms, Shoulders";"Jump continuously while turning the rope under your feet in rhythm."
"Clamshells";"Mobility";"Resistance Band";"Lower Body";"Push";"Glutes, Hip Abductors";"Lie on your side with knees bent and band above knees, open and close your top knee while keeping feet together."
"Box Jump";"Cardio";"Plyo Box";"Lower Body";"Push";"Quads, Glutes, Calves";"Stand in front of box, jump onto it with both feet, land softly, and step back down."
"Cable Bicep Curl";"Strength";"Cable Machine";"Upper Body";"Pull";"Biceps, Forearms";"Grip the bar, curl it toward your chest by flexing the elbows, then slowly return."
"Sumo Squat";"Strength";"Bodyweight";"Lower Body";"Push";"Glutes, Quads, Inner Thighs";"Stand with wide stance, squat down keeping back straight, push through heels to rise."
"Standing Shoulder Stretch";"Mobility";"Bodyweight";"Upper Body";"Stretch";"Deltoids, Triceps";"Extend one arm across your chest, use the other to pull it closer for a stretch."
"Resistance Band Chest Press";"Strength";"Resistance Band";"Upper Body";"Push";"Chest, Triceps, Shoulders";"Anchor band behind you, press arms forward until extended, then return."
"Lunge with Twist";"Mobility";"Bodyweight";"Full Body";"Push";"Glutes, Quads, Core, Obliques";"Step into lunge, twist torso toward forward leg, return and repeat."
"Hollow Hold";"Mobility";"Bodyweight";"Core";"Hold";"Abs, Hip Flexors";"Lie on back, lift shoulders and legs off ground, keep lower back pressed to floor."
"Lat Raise to Front Raise";"Strength";"Dumbbells";"Upper Body";"Push";"Shoulders, Traps";"Raise arms to sides, return, then raise to front; alternate continuously."
"Inchworm";"Warm-Up";"Bodyweight";"Full Body";"Push";"Shoulders, Core, Hamstrings";"Bend at hips, walk hands forward to a plank, then walk feet toward hands and repeat."
"Cable Kickback";"Strength";"Cable Machine";"Lower Body";"Push";"Glutes, Hamstrings";"Attach ankle strap, kick leg back while keeping knee slightly bent, then return slowly."
"Bear Crawl";"Cardio";"Bodyweight";"Full Body";"Push";"Shoulders, Core, Quads";"Start on hands and toes, move opposite hand and foot forward while keeping hips low."
"Band Pull Apart";"Mobility";"Resistance Band";"Upper Body";"Pull";"Shoulders, Upper Back";"Hold band in front with arms straight, pull it apart by squeezing shoulder blades."
"Split Squat";"Strength";"Bodyweight";"Lower Body";"Push";"Quads, Glutes, Hamstrings";"Place rear foot on elevated surface, lower front leg into squat, then rise."
"Cable Tricep Pushdown";"Strength";"Cable Machine";"Upper Body";"Push";"Triceps, Forearms";"Grip bar, press downward until arms are straight, then return slowly."
"Cobra Stretch";"Mobility";"Bodyweight";"Core";"Stretch";"Abs, Lower Back, Hips";"Lie face down, press chest up with hands while keeping hips on floor."
"Dumbbell Chest Press";"Strength";"Dumbbells";"Upper Body";"Push";"Chest, Triceps, Shoulders";"Lie on bench, press dumbbells from chest upward, then lower back down."
"V-Ups";"Mobility";"Bodyweight";"Core";"Push";"Abs, Hip Flexors";"Lie flat, raise legs and upper body to touch toes in a 'V' shape, then lower slowly."
"Spiderman Stretch";"Mobility";"Bodyweight";"Full Body";"Stretch";"Hip Flexors, Hamstrings, Core";"Start in lunge, bring both hands inside foot, lower elbows to floor if possible."
"Chest Opener Stretch";"Mobility";"Bodyweight";"Upper Body";"Stretch";"Chest, Shoulders, Biceps";"Clasp hands behind back, lift arms and open chest while standing tall."
"Dumbbell Hammer Curl";"Strength";"Dumbbells";"Upper Body";"Pull";"Biceps, Forearms";"Hold dumbbells with neutral grip, curl up, then lower without rotating wrists."
"Lateral Lunge";"Strength";"Bodyweight";"Lower Body";"Push";"Glutes, Quads, Adductors";"Step out to the side, bend knee while keeping other leg straight, return to start."
"Knees to Chest Stretch";"Mobility";"Bodyweight";"Lower Body";"Stretch";"Lower Back, Glutes";"Lie on back, pull knees toward chest, hold with arms wrapped around legs."
"Reverse Lunge";"Strength";"Bodyweight";"Lower Body";"Push";"Glutes, Quads, Hamstrings";"Step one foot backward, lower hips, push through front heel to return upright."
"Shoulder Taps";"Mobility";"Bodyweight";"Upper Body";"Hold";"Shoulders, Core, Triceps";"In plank position, tap opposite shoulder with hand while keeping hips steady."
"Donkey Kicks";"Strength";"Bodyweight";"Lower Body";"Push";"Glutes, Hamstrings, Core";"On hands and knees, kick one leg upward keeping knee bent, then return."
"Forearm Plank Rock";"Mobility";"Bodyweight";"Core";"Hold";"Abs, Shoulders, Glutes";"In forearm plank, rock body forward and backward while maintaining straight line."
"Front Squat";"Strength";"Barbell";"Lower Body";"Push";"Quads, Glutes, Core";"Hold barbell at front of shoulders, squat down and rise while keeping chest up."
"Chest Stretch on Wall";"Mobility";"Bodyweight";"Upper Body";"Stretch";"Chest, Shoulders";"Place hand on wall, rotate torso away to stretch chest and front shoulder."
"Band Squat to Row";"Strength";"Resistance Band";"Full Body";"Pull";"Glutes, Quads, Back, Biceps";"Anchor band, perform a squat then row handles toward chest."
"Zercher Squat";"Strength";"Barbell";"Lower Body";"Push";"Quads, Glutes, Core";"Hold bar in elbow crease, squat by bending knees and hips, return upright."
"Reverse Crunch on Bench";"Mobility";"Bodyweight";"Core";"Push";"Abs, Hip Flexors";"Lie on bench, curl hips toward chest, then lower slowly."
"Dumbbell Pullover";"Strength";"Dumbbell";"Upper Body";"Pull";"Chest, Lats, Triceps";"Lie on bench, hold dumbbell over chest, lower behind head, then raise."
"Supine Twist";"Mobility";"Bodyweight";"Core";"Stretch";"Spine, Obliques, Glutes";"Lie on back, rotate knees to one side while keeping shoulders flat on floor."
"Wall Pike Press";"Strength";"Bodyweight";"Upper Body";"Push";"Shoulders, Triceps";"From a pike position with feet on wall, bend elbows to lower head, then press back up."
"Knee Push-Up";"Strength";"Bodyweight";"Upper Body";"Push";"Chest, Triceps, Shoulders";"From knees and hands, lower chest toward floor, then press up."
"Banded Glute Bridge";"Mobility";"Resistance Band";"Lower Body";"Push";"Glutes, Hamstrings, Core";"Lie on back with band above knees, lift hips while pushing knees outward."
"Wall Hamstring Stretch";"Mobility";"Bodyweight";"Lower Body";"Stretch";"Hamstrings, Calves";"Lie on back, place leg up against wall, keep it straight to stretch."
"Barbell Hip Thrust";"Strength";"Barbell";"Lower Body";"Push";"Glutes, Hamstrings, Core";"Rest back on bench, barbell on hips, thrust upward, then lower."
"Side Plank with Reach Under";"Mobility";"Bodyweight";"Core";"Hold";"Obliques, Shoulders, Glutes";"Hold side plank, reach top arm under torso, then return to start."
"Cable Lat Pullover";"Strength";"Cable Machine";"Upper Body";"Pull";"Lats, Triceps, Core";"Hold straight bar, pull it downward in arc while keeping arms straight."
"Half-Kneeling Press";"Strength";"Dumbbell";"Upper Body";"Push";"Shoulders, Triceps, Core";"In lunge position, press dumbbell overhead with one arm, lower back down."
"Scapular Push-Up";"Mobility";"Bodyweight";"Upper Body";"Push";"Scapula, Shoulders, Core";"Keep arms straight, pinch and separate shoulder blades in plank position."
"Isometric Lunge Hold";"Mobility";"Bodyweight";"Lower Body";"Hold";"Quads, Glutes, Hamstrings";"Lower into lunge and hold the position with knees at 90° angles."
"Standing Band Abduction";"Strength";"Resistance Band";"Lower Body";"Push";"Glutes, Hip Abductors";"Loop band above knees, lift one leg out to the side and slowly return."
"Seated Cable Row";"Strength";"Cable Machine";"Upper Body";"Pull";"Back, Biceps, Rear Delts";"Pull handles toward torso, squeeze shoulder blades, then return."
"Power Skip";"Cardio";"Bodyweight";"Lower Body";"Push";"Glutes, Calves, Hip Flexors";"Skip forward powerfully, driving opposite knee and arm upward."
"Quad Stretch";"Mobility";"Bodyweight";"Lower Body";"Stretch";"Quadriceps, Hip Flexors";"Stand, pull one foot behind you to stretch front of thigh, hold and repeat."
"Kettlebell Deadlift";"Strength";"Kettlebell";"Lower Body";"Pull";"Glutes, Hamstrings, Core";"Stand with kettlebell between feet, hinge at hips, lift, then return slowly."
"Side Lying Leg Lift";"Strength";"Bodyweight";"Lower Body";"Push";"Glutes, Hip Abductors";"Lie on your side, lift top leg up and down slowly, keeping it straight."
"Face Pull";"Strength";"Cable Machine";"Upper Body";"Pull";"Rear Delts, Traps, Upper Back";"Pull rope toward your face, elbows high and wide, then return."
"Overhead Dumbbell Triceps Extension";"Strength";"Dumbbell";"Upper Body";"Push";"Triceps, Shoulders";"Hold dumbbell overhead with both hands, bend elbows to lower behind head, extend to top."
"Bird Dog";"Mobility";"Bodyweight";"Core";"Hold";"Spinal Erectors, Glutes, Shoulders";"On hands and knees, extend one arm and opposite leg, hold, then switch sides."
"Step-Through Lunge";"Strength";"Bodyweight";"Lower Body";"Push";"Glutes, Quads, Hamstrings";"Step forward into lunge, then push back into reverse lunge with same leg."
"Chin-Up";"Strength";"Bar";"Upper Body";"Pull";"Lats, Biceps, Forearms";"Grip bar underhand, pull body up until chin clears bar, then lower slowly."
"Cable Upright Row";"Strength";"Cable Machine";"Upper Body";"Pull";"Shoulders, Traps, Biceps";"Pull cable up toward chest with elbows leading, then lower slowly."
"Side Lunge with Reach";"Mobility";"Bodyweight";"Lower Body";"Push";"Adductors, Glutes, Hamstrings";"Lunge sideways, reaching hand toward foot, then return upright."
"Pelvic Tilt";"Mobility";"Bodyweight";"Core";"Hold";"Abdominals, Lower Back";"Lie on back, tilt pelvis to flatten lower back against floor, hold, then release."
"Kettlebell Goblet Squat";"Strength";"Kettlebell";"Lower Body";"Push";"Quads, Glutes, Core";"Hold kettlebell at chest, squat down with upright torso, return to standing."
"Banded Lateral Walk";"Strength";"Resistance Band";"Lower Body";"Push";"Glutes, Hip Abductors";"Place band around thighs, step side to side while keeping tension on band."
"Reverse Snow Angel";"Mobility";"Bodyweight";"Upper Body";"Hold";"Rear Delts, Traps, Upper Back";"Lie face down, arms at sides, sweep arms overhead like making snow angel."
"Kneeling Lat Stretch";"Mobility";"Bodyweight";"Upper Body";"Stretch";"Lats, Shoulders, Triceps";"Kneel with arms extended on surface, lower chest to stretch lats."
"Barbell Front Raise";"Strength";"Barbell";"Upper Body";"Push";"Shoulders, Upper Chest";"Lift bar straight up to shoulder height, then lower under control."
"Cable External Rotation";"Mobility";"Cable Machine";"Upper Body";"Pull";"Rotator Cuff, Shoulders";"Hold cable at elbow height, rotate forearm outward, keep elbow tucked."
"Hamstring Curl on Ball";"Strength";"Stability Ball";"Lower Body";"Pull";"Hamstrings, Glutes, Core";"Lie on back, heels on ball, curl ball toward glutes, then extend."
"High Knees";"Cardio";"Bodyweight";"Lower Body";"Push";"Hip Flexors, Quads, Calves";"Run in place, lifting knees as high as possible with quick tempo."
"Wall Angels";"Mobility";"Bodyweight";"Upper Body";"Hold";"Upper Back, Shoulders";"Stand against wall, arms bent, slide arms up and down while keeping contact."
"Arnold Press";"Strength";"Dumbbells";"Upper Body";"Push";"Shoulders, Triceps";"Start with palms facing you, rotate and press overhead, reverse to lower."
"Prone Y Raise";"Strength";"Bodyweight";"Upper Body";"Push";"Shoulders, Upper Back";"Lie face down, arms in Y shape, lift them off the floor and hold."
"Hip Airplane";"Mobility";"Bodyweight";"Lower Body";"Hold";"Glutes, Core, Hip Stabilizers";"Balance on one leg, hinge forward, open hips to side, then return."
"Jumping Jacks";"Cardio";"Bodyweight";"Full Body";"Push";"Delts, Glutes, Calves";"Jump feet apart and arms overhead, then return to start and repeat rhythmically."
"Crab Walk";"Mobility";"Bodyweight";"Core";"Push";"Triceps, Glutes, Shoulders";"Sit, lift hips, walk backward/forward on hands and feet keeping hips off floor."
"Kettlebell Suitcase Carry";"Strength";"Kettlebell";"Core";"Hold";"Obliques, Forearms, Traps";"Hold kettlebell at side, walk slowly maintaining upright posture."
"Crossover Toe Touch";"Mobility";"Bodyweight";"Core";"Stretch";"Hamstrings, Obliques";"Stand tall, reach opposite hand to opposite foot, alternate sides rhythmically."
"Leg Raises";"Mobility";"Bodyweight";"Core";"Push";"Abs, Hip Flexors";"Lie on back, lift legs together toward ceiling, lower without touching floor."
"Barbell Overhead Press";"Strength";"Barbell";"Upper Body";"Push";"Shoulders, Triceps, Upper Chest";"Press bar overhead from shoulder height, then lower under control."
"Scissor Kicks";"Mobility";"Bodyweight";"Core";"Push";"Lower Abs, Hip Flexors";"Lie back, alternate legs up/down in scissor motion while keeping core engaged."
"Standing Calf Raise";"Strength";"Bodyweight";"Lower Body";"Push";"Calves";"Stand tall, raise heels off floor, pause, lower slowly."
"Plank Walkout";"Mobility";"Bodyweight";"Full Body";"Push";"Core, Shoulders, Hamstrings";"Bend at hips, walk hands forward to plank, then return."
"Landmine Squat Press";"Strength";"Barbell (Landmine)";"Full Body";"Push";"Quads, Glutes, Shoulders";"Hold landmine bar at chest, squat then press overhead as you rise."
"Figure Four Stretch";"Mobility";"Bodyweight";"Lower Body";"Stretch";"Glutes, Piriformis, Hips";"Lie on back, cross ankle over opposite thigh, pull legs toward chest."
"Overhead Reach Stretch";"Mobility";"Bodyweight";"Upper Body";"Stretch";"Lats, Shoulders";"Stand tall, reach one arm overhead and gently lean to opposite side."
"Kettlebell Clean";"Strength";"Kettlebell";"Full Body";"Pull";"Glutes, Hamstrings, Biceps";"Swing kettlebell, rotate it to rack position at shoulder, then lower."
"Jump Squat";"Cardio";"Bodyweight";"Lower Body";"Push";"Glutes, Quads, Calves";"Perform squat, then jump explosively upward, land soft into next squat."
"Dumbbell Row";"Strength";"Dumbbells";"Upper Body";"Pull";"Lats, Rhomboids, Biceps";"Hinge forward, pull dumbbells to ribs, then lower slowly."
"Reverse Warrior Pose";"Mobility";"Bodyweight";"Full Body";"Stretch";"Obliques, Quads, Shoulders";"In lunge position, lean torso backward while reaching arm overhead."
"Frog Stretch";"Mobility";"Bodyweight";"Lower Body";"Stretch";"Inner Thighs, Hips, Groin";"Kneel with knees wide, lower hips back gently to stretch inner thighs."
"Wall Sit";"Mobility";"Bodyweight";"Lower Body";"Hold";"Quads, Glutes, Core";"Sit against wall with thighs parallel to floor, hold the position as long as possible."
"Climber Tap";"Cardio";"Bodyweight";"Core";"Push";"Abs, Shoulders, Hip Flexors";"In plank, drive one knee in and tap opposite foot, alternate rapidly."
"Cable Lateral Raise";"Strength";"Cable Machine";"Upper Body";"Push";"Deltoids, Traps";"Raise arm laterally with cable tension to shoulder height, lower slowly."
"Kneeling Push-Up";"Strength";"Bodyweight";"Upper Body";"Push";"Chest, Triceps";"From knees, lower chest to floor, press up while keeping core tight."
"Side Lying Thoracic Twist";"Mobility";"Bodyweight";"Upper Body";"Stretch";"Thoracic Spine, Shoulders";"Lie on side, twist top arm across body to floor, hold stretch."
"Farmer's Carry";"Strength";"Dumbbells";"Full Body";"Hold";"Grip, Core, Shoulders";"Hold heavy dumbbells at sides, walk slowly while maintaining posture."
"Fire Hydrant";"Mobility";"Bodyweight";"Lower Body";"Push";"Glutes, Hips, Core";"On hands and knees, lift leg to side at 90°, return slowly and repeat."
"Standing Hip Circles";"Mobility";"Bodyweight";"Lower Body";"Mobility";"Hip Flexors, Glutes";"Stand tall, lift knee and rotate hip in circular motion both directions."
"Side-Lying T-Spine Opener";"Mobility";"Bodyweight";"Upper Body";"Stretch";"Thoracic Spine, Shoulders";"Lie on side, twist open top arm and rotate torso for gentle stretch."
"Seated Band Row";"Strength";"Resistance Band";"Upper Body";"Pull";"Back, Biceps";"Sit with legs extended, pull band toward torso while squeezing shoulder blades."
"Overhead Barbell Carry";"Strength";"Barbell";"Full Body";"Hold";"Shoulders, Core, Grip";"Hold barbell locked out overhead, walk while keeping tight and stable posture."
"Dead Hang";"Mobility";"Bar";"Upper Body";"Hold";"Forearms, Shoulders, Core";"Grab pull-up bar and hang with arms extended, keep body still and core tight."
"Russian Twist";"Strength";"Bodyweight";"Core";"Hold";"Obliques, Abs, Hip Flexors";"Sit, lean back slightly, twist torso side to side, touching ground each time."
"Skater Hops";"Cardio";"Bodyweight";"Lower Body";"Push";"Glutes, Quads, Calves";"Jump side to side landing on one leg, keep low and control each landing."
"Resistance Band Chest Press";"Strength";"Resistance Band";"Upper Body";"Push";"Chest, Triceps, Shoulders";"Anchor band behind, press handles forward until arms are extended."
"Glute March on Stability Ball";"Strength";"Stability Ball";"Lower Body";"Hold";"Glutes, Core, Hamstrings";"Bridge hips on ball, alternate lifting feet while hips remain stable."
"Kettlebell Snatch";"Strength";"Kettlebell";"Full Body";"Pull";"Hamstrings, Glutes, Shoulders";"Swing kettlebell overhead in one fluid motion, stabilize at the top."
"World’s Greatest Stretch";"Mobility";"Bodyweight";"Full Body";"Stretch";"Hip Flexors, Hamstrings, Spine";"Lunge forward, place hands down, rotate torso and reach upward."
"Renegade Row";"Strength";"Dumbbells";"Upper Body";"Pull";"Back, Core, Biceps";"In plank holding dumbbells, row one arm at a time keeping body stable."
"Wall Calf Stretch";"Mobility";"Bodyweight";"Lower Body";"Stretch";"Calves, Achilles Tendon";"Place foot against wall, lean forward to stretch the calf."
"Barbell Glute Bridge";"Strength";"Barbell";"Lower Body";"Push";"Glutes, Hamstrings, Core";"Lie on back with bar on hips, drive hips up until fully extended, lower slowly."
"Windshield Wipers";"Mobility";"Bodyweight";"Core";"Hold";"Obliques, Abs";"Lie back, lift legs, rotate them side to side while maintaining core tension."
"Overhead Squat";"Strength";"Barbell";"Full Body";"Push";"Shoulders, Quads, Core";"Hold bar overhead, squat deeply while keeping arms locked and torso upright."
"Banded Pull-Apart";"Strength";"Resistance Band";"Upper Body";"Pull";"Rear Delts, Rhomboids, Traps";"Hold band at chest, pull ends apart by squeezing shoulder blades together."
"Mountain Climber Twist";"Cardio";"Bodyweight";"Core";"Push";"Abs, Shoulders, Obliques";"Drive knees toward opposite elbows quickly from plank position."
"Sliding Hamstring Curl";"Strength";"Sliders";"Lower Body";"Pull";"Hamstrings, Glutes";"Lie back, feet on sliders, slide heels in and out while keeping hips lifted."
"Spiderman Crawl";"Mobility";"Bodyweight";"Full Body";"Push";"Core, Shoulders, Hips";"Crawl forward on hands and feet, keeping body low and hips mobile."
"Landmine Rotation";"Strength";"Barbell (Landmine)";"Core";"Pull";"Obliques, Shoulders, Abs";"Grip end of barbell, rotate side to side while maintaining hip stability."
"Bodyweight Good Morning";"Mobility";"Bodyweight";"Lower Body";"Stretch";"Hamstrings, Glutes, Spinal Erectors";"Stand tall, hinge at hips with hands behind head, then return upright."
"Kettlebell High Pull";"Strength";"Kettlebell";"Upper Body";"Pull";"Traps, Delts, Biceps";"Pull kettlebell up toward chin, elbows higher than wrists, then lower."
"Band-Assisted Pull-Up";"Strength";"Bar, Resistance Band";"Upper Body";"Pull";"Lats, Biceps, Back";"Loop band on bar and foot, pull yourself up until chin clears bar."
"Wall Angels on Foam Roller";"Mobility";"Foam Roller";"Upper Body";"Hold";"Shoulders, Upper Back, Thoracic Spine";"Lie on roller, move arms in angel motion keeping contact with wall."
"Bird Dog Row";"Strength";"Dumbbell";"Core";"Hold";"Back, Glutes, Core";"In bird dog position, row dumbbell with one arm while maintaining balance."
"Hip Bridge March";"Strength";"Bodyweight";"Lower Body";"Push";"Glutes, Core, Hamstrings";"Lift hips into bridge, alternate lifting knees one at a time."
"90/90 Hip Stretch";"Mobility";"Bodyweight";"Lower Body";"Stretch";"Hip Rotators, Glutes";"Sit with one leg bent in front, one behind, lean into front leg for stretch."
"Stability Ball Stir the Pot";"Strength";"Stability Ball";"Core";"Hold";"Abs, Shoulders, Obliques";"Forearms on ball in plank, make slow circles with arms while keeping core tight."
"Reverse Crunch";"Strength";"Bodyweight";"Core";"Pull";"Lower Abs, Hip Flexors";"Lie on back, curl hips up toward chest using lower abs, then lower slowly."
"Reverse Fly with Band";"Strength";"Resistance Band";"Upper Body";"Pull";"Rear Delts, Traps";"Pull band apart with arms extended in front, keeping arms straight."
"Jumping Lunge";"Cardio";"Bodyweight";"Lower Body";"Push";"Quads, Glutes, Calves";"Lunge and jump to switch legs mid-air, landing into next lunge."
"Kettlebell Rack Carry";"Strength";"Kettlebell";"Core";"Hold";"Core, Shoulders, Traps";"Hold kettlebell at shoulder in rack position, walk maintaining posture."
"Foam Rolling Quads";"Mobility";"Foam Roller";"Lower Body";"Stretch";"Quadriceps";"Lie face down with roller under thighs, roll slowly to massage quads."
"Dumbbell Lateral Lunge";"Strength";"Dumbbells";"Lower Body";"Push";"Glutes, Adductors, Quads";"Step to side with dumbbells, lower into lunge, push back to center."
